question,A1,A2,A3,A4,correct,explanation
איזה מהטיפולים אינו נכלל בטיפול באדם שהתעלף?,הרמת רגליים,מתן חמצן,שמירה על נתיב האוויר,הרטבת איזור הפנים,A4,
אדם בן 73 קרדיאלי עם כאב חזה מקיא מזיע. איזה משפט נכון?,נחשוד לAP הושבה 45 חמצן חבירה נטן,נחשוד לMI הרגעה מנוחה אספירין בלעיסה פינוי שקילת חבירה אטן,נחשוד לMI הושבה 45 חמצן חבירה נטן,נחשוד לMI הושבה הרמת רגליים חמצן חבירה נטן,A3,
את החיבור לליף-פאק נבצע:,הכי מהר שאפשר,לאחר שתי דקות של החייאה,בין שלב A ל-B,בזמן שמטפל א מבצע הנשמה כל 5 שניות,A1,
מיהו מבוגר?,כל אדם מעל גיל 18,כל אדם מעל גיל 12,גבר שיש לו שיער בבית בשחי או אישה שהופיעו אצלה שדיים,כל מי שהוא לא ילד או תינוק,A3,
"אישה צעירה לאחר ריב קשה נושמת במהירות, מתלוננת על סחרחורת, נימול בידיים ועווית באצבעות. היא חרדה מאוד. — מהו המצב הסביר ביותר?",היפרוונטילציה,אוטם שריר הלב,הלם ספטי,טביעה,A1,"נשימה מהירה, סחרחורת, נימול ועווית באצבעות לאחר לחץ מתאימים להיפרוונטילציה."
הגעת לחולה מחרחר שפתיים כחולות קצף מהפה. למה תחשוד וכיצד תטפל?,בצקת ריאות - הושבה הרגעה אמבו פינוי דחוף,התקף אסטמה - הושבה הרגעה חמצן נטן,בצקת ריאות - הושבה הרגעה חמצן 10LPM פינוי דחוף לנטן,,A3,
טפיחות על גבו של תינוק הם חלק מהטיפול בסילוק גוף זר נכון/לא נכון,נכון,לא נכון,,,A1,
"הגעתם לאדם בן 24. עורו סמוק, חם ולח. מסביבו ישנה שלולית שתן. בבדיקה: דופק 60, לד 130/70, נושם 18 נשימות בדקה. למה תחשדו?",שבץ מוחי,עלפון,היפוגליקמיה,היפרגליקמיה,A4,
מה נכון לגבי עיסויים אצל מטופל עם גוף זר בקנה?,נבצע עיסויים במטופל עם הכרה מעורפלת אך לא במטופל בהכרה,נמשיך בהחייאה גם אם יצא הגוף הזר והמטופל חזר לנשום,נקפיד על AW בכל מצב,נטה את ראש המטופל הצידה כדי למנוע מהגוף הזר לצאת ולהיכנס בחזרה,A4,"לא מבצעים עיסויים לנפגע בהכרה. אם הוא מחוסר הכרה, חשוב להטות את ראשו הצידה כדי למנוע מהגוף הזר לחזור פנימה. לא מחזירים AW אם המטופל פולט אותו או אם הגוף הזר עדיין בפנים. נמשיך לעסות ולהנשים עד יציאת הגוף הזר או עד שגורם רפואי בכיר מחליף אותנו. בכל מקרה יש לקרוא לרופא גם אם הגוף הזר יצא."
מהי השרשרת האנטומית?,"תא, רקמה, מערכת, איבר, גוף","אנטומיה, פיזיולוגיה, פתופיזיולוגיה","תא, רקמה, איבר, מערכת, גוף","מים, חמצן וגלוקוז",A3,
מהי ההגדרה הטובה ביותר לכוויה?,פגיעה בעור על רקע חום גבוה,פגיעה בעור או ברקמות פנימיות על רקע חום גבוה,"פגיעה בכל סוג רקמה על רקע טמפרטורה קיצונית, חומרים כימיים או חשמל",פגיעה בעור או ברקמות פנימיות על חום או חשיפה לחומצה חזקה,A3,"כוויה היא פגיעה ברקמה על רקע חום, קור, חומר כימי או חשמל. ישנן גם כוויות פנימיות כמו במקרה של שאיפת עשן או בליעת חומצות או בסיסים שהם חומרים כימיים חריפים. ישנן כוויות חיצוניות מגז חרדל שהוא חומר לחימה כימי וגם מכת חשמל יכולה לגרום לכוויה עם סימני חריכה חיצוניים אך נזק לאורך כל מעבר הזרם החשמלי בתוך הגוף."
האם באובדן צלם אנוש בהחייאה מפסיקים?,כן,לא,,,A1,"אובדן צלם אנוש (dismemberment, ריקבון) = הפסקת החייאה. מצב בלתי הפיך."
"הוזעקת לאדם כבן 70 עם ריח אצטון, עור אדום חם ויבש. למה תחשוד?",התייבשות,היפרגליקמיה,סתם שיכור,פוסט אפילפסיה,A2,
מה עושים אם יש דופק אבל המטופל אינו נושם?,שתי הנשמות כל 30 שניות,הנשמה כל 5-6 שניות,להמתין ולבדוק מחדש אחרי 2 דקות,עיסוי לב בקצב איטי,A2,דופק ללא נשימה = הנשמה כל 5-6 שניות (10-12 לדקה). ללא עיסויי לב.
